country;description;code;variable;versao;2009
USA;Food, Beverages and Tobacco;15t16;producao_bruta_pd;Ochoa 1;1191292,744
USA;Textiles and Textile Products;17t18;producao_bruta_pd;Ochoa 1;137085,6878
USA;Leather, Leather and Footwear;19;producao_bruta_pd;Ochoa 1;7039,960956
USA;Wood and Products of Wood and Cork;20;producao_bruta_pd;Ochoa 1;158202,3754
USA;Pulp, Paper, Paper , Printing and Publishing;21t22;producao_bruta_pd;Ochoa 1;646157,1713
USA;Coke, Refined Petroleum and Nuclear Fuel;23;producao_bruta_pd;Ochoa 1;610508,0217
USA;Chemicals and Chemical Products;24;producao_bruta_pd;Ochoa 1;763878,4617
USA;Rubber and Plastics;25;producao_bruta_pd;Ochoa 1;297520,4825
USA;Other Non-Metallic Mineral;26;producao_bruta_pd;Ochoa 1;164058,8333
USA;Basic Metals and Fabricated Metal;27t28;producao_bruta_pd;Ochoa 1;884662,0213
USA;Machinery, Nec;29;producao_bruta_pd;Ochoa 1;438352,7281
USA;Electrical and Optical Equipment;30t33;producao_bruta_pd;Ochoa 1;1089685,827
USA;Transport Equipment;34t35;producao_bruta_pd;Ochoa 1;972532,8217
USA;"Manufacturing, Nec; Recycling";36t37;producao_bruta_pd;Ochoa 1;233608,2978
USA;Electricity, Gas and Water Supply;E;producao_bruta_pd;Ochoa 1;604182,2787
USA;Construction;F;producao_bruta_pd;Ochoa 1;2786844,581
USA;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";50;producao_bruta_pd;Ochoa 1;0
USA;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;51;producao_bruta_pd;Ochoa 1;0
USA;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";52;producao_bruta_pd;Ochoa 1;0
USA;Hotels and Restaurants;H;producao_bruta_pd;Ochoa 1;0
USA;Inland Transport;60;producao_bruta_pd;Ochoa 1;708031,3131
USA;Water Transport;61;producao_bruta_pd;Ochoa 1;46340,44109
USA;Air Transport;62;producao_bruta_pd;Ochoa 1;248900,6162
USA;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";63;producao_bruta_pd;Ochoa 1;0
USA;Post and Telecommunications;64;producao_bruta_pd;Ochoa 1;0
USA;Financial Intermediation;J;producao_bruta_pd;Ochoa 1;0
USA;Real Estate Activities;70;producao_bruta_pd;Ochoa 1;0
USA;Renting of M&Eq and Other Business Activities;71t74;producao_bruta_pd;Ochoa 1;0
USA;"Public Admin and Defence; Compulsory Social Security";L;producao_bruta_pd;Ochoa 1;0
USA;Education;M;producao_bruta_pd;Ochoa 1;763630,9329
USA;Health and Social Work;N;producao_bruta_pd;Ochoa 1;3745103,346
USA;Other Community, Social and Personal Services;O;producao_bruta_pd;Ochoa 1;0
USA;Private Households with Employed Persons;P;producao_bruta_pd;Ochoa 1;0
BRA;Agriculture, Hunting, Forestry and Fishing;AtB;PIB_pm;Ochoa 1;78638,48285
BRA;Mining and Quarrying;C;PIB_pm;Ochoa 1;25539,80186
BRA;Food, Beverages and Tobacco;15t16;PIB_pm;Ochoa 1;34598,39173
BRA;Textiles and Textile Products;17t18;PIB_pm;Ochoa 1;16542,72959
BRA;Leather, Leather and Footwear;19;PIB_pm;Ochoa 1;4229,20914
BRA;Wood and Products of Wood and Cork;20;PIB_pm;Ochoa 1;3955,13078
BRA;Pulp, Paper, Paper , Printing and Publishing;21t22;PIB_pm;Ochoa 1;16569,73731
BRA;Coke, Refined Petroleum and Nuclear Fuel;23;PIB_pm;Ochoa 1;19328,52605
BRA;Chemicals and Chemical Products;24;PIB_pm;Ochoa 1;27662,40872
BRA;Rubber and Plastics;25;PIB_pm;Ochoa 1;9668,76431
BRA;Other Non-Metallic Mineral;26;PIB_pm;Ochoa 1;9526,22356
BRA;Basic Metals and Fabricated Metal;27t28;PIB_pm;Ochoa 1;30052,59208
BRA;Machinery, Nec;29;PIB_pm;Ochoa 1;15182,84079
BRA;Electrical and Optical Equipment;30t33;PIB_pm;Ochoa 1;15280,36868
BRA;Transport Equipment;34t35;PIB_pm;Ochoa 1;20542,37309
BRA;"Manufacturing, Nec; Recycling";36t37;PIB_pm;Ochoa 1;9559,233
BRA;Electricity, Gas and Water Supply;E;PIB_pm;Ochoa 1;43305,88121
BRA;Construction;F;PIB_pm;Ochoa 1;73412,48873
BRA;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";50;PIB_pm;Ochoa 1;19154,80256
BRA;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;51;PIB_pm;Ochoa 1;62355,19071
BRA;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";52;PIB_pm;Ochoa 1;93070,42146
BRA;Hotels and Restaurants;H;PIB_pm;Ochoa 1;27211,27974
BRA;Inland Transport;60;PIB_pm;Ochoa 1;41561,14801
BRA;Water Transport;61;PIB_pm;Ochoa 1;2336,5755
BRA;Air Transport;62;PIB_pm;Ochoa 1;3731,31215
BRA;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";63;PIB_pm;Ochoa 1;19703,20935
BRA;Post and Telecommunications;64;PIB_pm;Ochoa 1;28566,87434
BRA;Financial Intermediation;J;PIB_pm;Ochoa 1;101136,9152
BRA;Real Estate Activities;70;PIB_pm;Ochoa 1;116911,9253
BRA;Renting of M&Eq and Other Business Activities;71t74;PIB_pm;Ochoa 1;98494,54253
BRA;"Public Admin and Defence; Compulsory Social Security";L;PIB_pm;Ochoa 1;142922,3617
BRA;Education;M;PIB_pm;Ochoa 1;72313,67458
